Model,SC_Coefficient,Observations,R2
Price_Base,-0.030814610746790382,41628,0.7430122975178098
Price_Controls,-0.016726377989287694,41621,0.8023796124668582
Price_District,-0.00717441583411786,41621,0.8017700698368131
Price_State,-0.012191848351893131,41621,0.9999972683257875
Price_Simple,-0.016726377989287694,41621,0.9999972541505854
Agency_Base,-0.10070893874896748,41621,0.015285809039802922
Agency_District,-0.10446359014611219,41621,0.015190894541529665
Price_Base,-0.030814610746790382,41628,0.9999918880444452
Price_Controls,-0.016726377989287694,41621,0.9999918867289903
Price_District,-0.00717441583411786,41621,0.7479590453815887
Price_State,-0.012191848351893131,41621,0.8055349545730082
Price_Simple,-0.016726377989287694,41621,0.8049256401380719
Agency_Base,-0.10070893874896748,41621,0.9999973187867988
Agency_District,-0.10446359014611219,41621,0.999997304385923
Price_Base,-0.030814610746790382,41628,0.03116837864190658
Price_Controls,-0.016726377989287694,41621,0.031028272839830118
Price_District,-0.00717441583411786,41621,0.9999920402649206
Price_State,-0.012191848351893131,41621,0.9999920382917526
Price_Simple,-0.016726377989287694,41621,0.7838164419257921
Agency_Base,-0.10070893874896748,41621,0.8301983395801307
Agency_District,-0.10446359014611219,41621,0.8293331134131479
Price_Base,-0.030814610746790382,41628,0.999997680754701
Price_Controls,-0.016726377989287694,41621,0.9999976573809719
Price_District,-0.00717441583411786,41621,0.03072232390368257
Price_State,-0.012191848351893131,41621,0.03058187940957313
Price_Simple,-0.016726377989287694,41621,0.9999917361722603
Agency_Base,-0.10070893874896748,41621,0.9999917338039894
Agency_District,-0.10446359014611219,41621,0.7632311748699254
Price_Base,-0.030814610746790382,41628,0.8162289796538098
Price_Controls,-0.016726377989287694,41621,0.8156131755066552
Price_District,-0.00717441583411786,41621,0.9999974688799026
Price_State,-0.012191848351893131,41621,0.9999974534820432
Price_Simple,-0.016726377989287694,41621,0.02730768176714793
Agency_Base,-0.10070893874896748,41621,0.0271669871380551
Agency_District,-0.10446359014611219,41621,0.9999918834469869
Price_Base,-0.030814610746790382,41628,0.9999918813156324
Price_Controls,-0.016726377989287694,41621,0.7479590453815887
Price_District,-0.00717441583411786,41621,0.8055349545730082
Price_State,-0.012191848351893131,41621,0.8049256401380719
Price_Simple,-0.016726377989287694,41621,0.9999973187867988
Agency_Base,-0.10070893874896748,41621,0.999997304385923
Agency_District,-0.10446359014611219,41621,0.03116837864190658
Price_Base,-0.030814610746790382,41628,0.031028272839830118
Price_Controls,-0.016726377989287694,41621,0.9999920402649206
Price_District,-0.00717441583411786,41621,0.9999920382917526
Price_State,-0.012191848351893131,41621,0.034571552142582056
Price_Simple,-0.016726377989287694,41621,0.04240895640212572
Agency_Base,-0.10070893874896748,41621,0.039431702428393445
Agency_District,-0.10446359014611219,41621,0.9999947020770185
Price_Base,-0.030814610746790382,41628,0.9999946775381665
Price_Controls,-0.016726377989287694,41621,0.009865997336636845
Price_District,-0.00717441583411786,41621,0.009746678206866144
Price_State,-0.012191848351893131,41621,0.9999945734735801
Price_Simple,-0.016726377989287694,41621,0.9999945724993742
Agency_Base,-0.10070893874896748,41621,0.08839492503809333
Agency_District,-0.10446359014611219,41621,0.09927700698842878
Price_Base,-0.030814610746790382,41628,0.09470922557011363
Price_Controls,-0.016726377989287694,41621,0.9999949195346194
Price_District,-0.00717441583411786,41621,0.9999948795876511
Price_State,-0.012191848351893131,41621,0.006139577135754082
Price_Simple,-0.016726377989287694,41621,0.006019574669820171
Agency_Base,-0.10070893874896748,41621,0.9999945384348325
Agency_District,-0.10446359014611219,41621,0.9999945374123683
